"from_stop_I","to_stop_I","d"
45000,2556,11712.480010358
45001,2224,21887.7626807119
45002,2579,433.621180581149
45003,4071,1844.17588630161
45004,3514,6325.00584673229
45005,3415,673.029096732019
45006,3259,31323.7278080863
45007,3259,28714.8972692305
45008,3167,12381.8841813713
45009,3167,36931.7896482617
45010,3167,42662.5708770958
45011,3491,17410.9315101202
45012,3167,43017.8807880983
45013,3259,29426.6291445548
45014,3259,35684.6390431085
45015,3259,38591.532721586
45016,3259,34291.4530948148
45017,3260,7031.32838355262
45018,3154,1688.4249156624
45019,3129,6054.74372911116
45020,3468,11810.0310101442
45021,3254,17159.8411766274
45022,3254,9994.24915800856
45023,3163,3692.84886930943
45024,3413,943.830098465588
45025,1984,1404.29345040377
45026,3259,3529.63001227314
45027,3259,9882.32704161861
45028,3259,13696.204568466
45029,3259,16566.4111815117
45030,3523,519.705890254918
45031,1244,4579.62835181173
45032,3504,2519.50509178213
45033,209,3890.64593234316
45034,3535,1686.732095996
45035,3454,4154.37703352782
45036,2860,2495.37197955535
45037,3266,7117.12090481239
45038,3266,5690.34417303197
45039,1258,123.821244086543
45040,365,3839.10025886469
45041,3093,2527.77960285995
45042,2841,5813.00953868743
45043,2224,8974.37671571978
45044,4081,4356.98375668113
45045,4064,1346.41746788152
45046,4038,1188.05849870084
45047,4112,4545.40150490896
45048,3997,4120.23465918377
45049,1260,2940.5743479535
45050,1519,2962.39787790458
45051,2350,8827.31456031823
45052,2525,4908.93208959571
45053,2352,1098.47200516557
45054,2112,1938.86584598584
45055,2590,8715.04347136876
45056,2492,3587.60736878272
45057,2224,7265.02514174135
45058,2290,7797.44375513652
45059,2113,2800.86486337188
45060,4827,4649.82868472192
45061,2296,1418.24476972139
45062,2304,2963.90022587926
45063,1943,1724.69686593113
45064,5148,1264.31868132451
45065,3468,1495.4002179363
45066,3259,13650.0496447511
45067,3167,38413.0799059041
45068,3167,6010.6090510554
45069,3141,558.067311239689
45070,3142,10085.5315145636
45071,3142,20679.2666975352
